Date,Cover,Book,Author,Leader,Notes,ISBN,Amazon Link,Image Link,Thumbnail Link
2006-11-04,,"Mayflower: A Story of Courage, Community, and War",Nathaniel Philbrick,,,0143111973,http://www.amazon.com/dp/product/0143111973,http://images.amazon.com/images/P/0143111973.jpg,http://images.amazon.com/images/P/0143111973.01.jpg
2006-12-09,,The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,,,0375404031,http://www.amazon.com/dp/product/0375404031,http://images.amazon.com/images/P/0375404031.jpg,http://images.amazon.com/images/P/0375404031.01.jpg
2006-12-10,,The Map That Changed the World: William Smith and the Birth of Modern Geology,Simon Winchester,Stephen Houser,,0061767905,http://www.amazon.com/dp/product/0061767905,http://images.amazon.com/images/P/0061767905.jpg,http://images.amazon.com/images/P/0061767905.01.jpg
2007-01-13,,Ambitious Brew: The Story of American Beer,Maureen Ogle,Bill Phillips,,0156033593,http://www.amazon.com/dp/product/0156033593,http://images.amazon.com/images/P/0156033593.jpg,http://images.amazon.com/images/P/0156033593.01.jpg
2007-01-21,,The Confederate States of America: What Might Have Been,Roger L. Ransom,Stephen Houser,,0393329119,http://www.amazon.com/dp/product/0393329119,http://images.amazon.com/images/P/0393329119.jpg,http://images.amazon.com/images/P/0393329119.01.jpg
2007-03-24,,The Kite Runner,Khaled Hosseini,,,159463193X,http://www.amazon.com/dp/product/159463193X,http://images.amazon.com/images/P/159463193X.jpg,http://images.amazon.com/images/P/159463193X.01.jpg
2007-04-07,,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,,,0375725601,http://www.amazon.com/dp/product/0375725601,http://images.amazon.com/images/P/0375725601.jpg,http://images.amazon.com/images/P/0375725601.01.jpg
2007-05-06,,Supreme Conflict: The Inside Story of the Struggle for Control of the United States Supreme Court,Jan Crawford Greenburg,,,0143113046,http://www.amazon.com/dp/product/0143113046,http://images.amazon.com/images/P/0143113046.jpg,http://images.amazon.com/images/P/0143113046.01.jpg
2007-06-30,,Einstein: His Life and Universe,Walter Isaacson,Paul Myer,,0743264746,http://www.amazon.com/dp/product/0743264746,http://images.amazon.com/images/P/0743264746.jpg,http://images.amazon.com/images/P/0743264746.01.jpg
2007-08-19,,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,,,0316010669,http://www.amazon.com/dp/product/0316010669,http://images.amazon.com/images/P/0316010669.jpg,http://images.amazon.com/images/P/0316010669.01.jpg
2007-08-25,,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,,,0446697966,http://www.amazon.com/dp/product/0446697966,http://images.amazon.com/images/P/0446697966.jpg,http://images.amazon.com/images/P/0446697966.01.jpg
2007-12-23,,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,,,0316346624,http://www.amazon.com/dp/product/0316346624,http://images.amazon.com/images/P/0316346624.jpg,http://images.amazon.com/images/P/0316346624.01.jpg
2008-02-09,,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,Dick Coffin,,0143117009,http://www.amazon.com/dp/product/0143117009,http://images.amazon.com/images/P/0143117009.jpg,http://images.amazon.com/images/P/0143117009.01.jpg
